text,asin
"I love these. They even come with a carry case and several sizes of ear bud inserts. Thank heaven!  I get ear pain from most, but the smallest buds fit great.  They also have a charger and all of it fits in the carry case. I just wish they came in more colors preferably something bright!  When I leave them on my nightstand it takes a while to figure out which of half a dozen black cables are the right ones. Even white would be ok as only my iPhone has a white cord.",B01G8JO5F2
Good Product,B01G8JO5F2
"Forget any of the less than 5 star reviews. The sound is amazing, with a wide range. Excellent bass and mid-range. I bought these for use at the gym and walking to replace 2 different headsets that never stayed put, and honestly sound like crap.<br /><br />I bought a 2nd pair for work.<br /><br />BUY THESE AND TRY THEM, you won't be disappointed.",B01G8JO5F2
"I am so happy with these!! I have a lot of ear piercings all throughout my ear and so I never know if ear phones will work with that. Especially since these have the clips I was unsure. It doesn’t irritate any of them, not even my daith or conch. If you’re pierced, these are awesome! Highly recommend.",B01G8JO5F2
"These are great for around the house and casual uses but when I wear them running there's a lot of wind noise. Not good for running, for me. Wind noise is annoying & distracting.",B01G8JO5F2
"I had a hard time with these at first until I figured out that you have to hold down the multi-purpose button until a woman's voice says that it is now on, and same thing to turn it off. But they fit well and nothing's fallen off yet. Lightweight and flexible, decent sound quality.<br /><br />12/21/2020: I dropped these - not from a great height - but the volume control pad on top and the on/off pad on the side both popped off, about a month ago. I managed to get them on again but not sure how long they will stay in. I've not been running since. I don't want to use glue in case it gunks up the works. Shall update after I take them back for a run. Wanted to post this for a sense of how robust/long weariing they might be.",B01G8JO5F2
"DONT waste your money.. Battery time sucks, sound quality is great first day and sucks the next and than on.<br />there is no noise cancellation what so ever.",B01G8JO5F2
"Loves these headphones.  The sound was great, they didn't fall out of my ears, and they were comfortable. Now after a month they won't charge.  Very disappointed 😔",B01G8JO5F2
"Update:<br />They only lasted a few months. They simply just don't work now. Wasted my money. Look elsewhere. It's a bit expensive, but Swimbuds have 3 different types of waterproof head phones for the type of water activity you are involved with. I am still happy with my Swimbuds.<br /><br />Original Review:<br />I did really well with this. I kept accidentally going underwater with it during deep water exercise. Just below the surface, but the first time, the USB jack was not closed up and nothing went wrong. I should mention that I wasn't swimming laps with it. It did come off a few times, but not to the level of being annoying. Unfortunately, I've lost it. I now have to figure out if I am going to buy that waterproof MP3 watch for a few hundred bucks or buy another one of these.<br /><br />One thing to note: I did use this outside and the range is limited to 15ft if the mp3 player is not with you. I used my phone which I kept on the side of the pool. If you do use a phone to stream music, attach the phone to a portable battery charger or your phone will start skipping the stream in about 10-15 minutes. It's just trying to conserve battery for all the tasks it's performing. This is an argument for getting the mp3 waterproof watch, btw.",B01G8JO5F2
This is the second pair that I've had.  These things are workhorses.  The pair I'm listening to right know are 4 years old!  Insane!,B01G8JO5F2
The sound quality is very good and they easily fit my ears my only problem is the button to turn on and off is so easily accessible that I find myself accidentally shutting them off when I adjust the fit around my ears,B01G8JO5F2
"Great headphones! They are easy to use, hold a lasting charge, and block out all outside noise. Wish I would have bought these sooner",B01G8JO5F2
I returned these because they hurt my ear canals after a while. They were heavy and just didn't sit right on my ears.,B01G8JO5F2
These headphones are way better than I expected. The sound is amazing! Also they’re super secure. I like boxing (hitting mitts/heavy bag) and I didn’t have to adjust them at all. Oh the memory earbuds are an amazing touch! Complete cancel out noise and I hardly know I’m wearing them.,B01G8JO5F2
Very comfortable to wear for running. Sometimes it doesn't sync right away with my cell but it is okay.,B01G8JO5F2
They are just good,B01G8JO5F2
I wear these bad boys running and I have gotten rained on several times. They still work great!!! My only complaint is that you can't use them while they are charging. I have had mine for about a year and they usually last about 8 hours after a full charge.,B01G8JO5F2
