label,text
1,"great product, great sound, stays in your hear even when active."
1,"Wow, very impressed with these. I've had the wireless Beats and these are very close to sound and quality. The battery life is a solid 8 hours. They warm you when the battery has about 5 minutes remaining. And a bonus you get a short charging cable and a lightning / micro USB cable."
1,Fast shipping. Great product for the price. Easy controls and comfortable even when wearing glasses with the head phones.
0,"Only works for 4 months. It won't charge any more. Before it completed dead, it starts self-calling the last numbers and warning about low battery."
1,I love these headphones. I would recommend them for anyone not just the sports type. They are so comfortable. Thanks Invotek!
1,"WHYYY did they change to flexible earhooks? I had the last SENSO model that had the stable earhook - some of you may remember, the ones that came w/ the car charger and the dual USB to charge either iPhones or android devices (aka THE BEST ONES). The earhooks were so much more stable and better for the fit I was looking for. After over a year of use almost daily, my old ones finally gave out so I purchased the newer model, which has flexible earhooks that I HATED bc they wouldn't stay on my ears and I kept having to readjust them while wearing. I returned and bought what I thought was the previous set (the S-250, vs S-255). NOPE they ""upgraded"" the earhooks on the previous model too, with the flexible earhooks :(  IDK WHAT TO DO NOW AND I'M SUPER SAD bc they were the best wireless headphones for the price."
0,TERRIBLE quality blue tooth buds.  DO NOT purchase.  Even if there is just the tiniest semblance of a breeze it sounds like a hurricane in your ears.  Volume and sound quality are extremely poor!!
1,Awesome! Great sound blocking!
0,They worked perfectly for a day but today I tried to connect to them and it won't connect at all
1,"Sounds decent for a cheap pair, however you get what you pay for, the sound quality is no where near the $100+ powerbeats, jaybirds, etc.."
1,"Great sound, I only wish the cords were longer."
0,"This product is defective right out of the box. I received my headphones today and I have tried everything I can to turn them on but they simply don't work. When I press and hold the multifunction button, nothing happens. I plugged them in thinking they needed to be charged out of the box but the solid blue light comes up indicating a full charge. Will be returning."
1,Clear sound for the right price!
1,This is my second pair.  Was thrilled that they were still available to purchase.  I did a lot of research for my first pair and was quite happy with these.
0,"Bought them to use while biking. They shake off while riding over rough terrain. While riding over smooth pavement: sound is OK, controls are OK, comfort level OK. The right headset cover (the one that holds an on-off switch etc) fell off after approximately 15 rides. So these phones ended costing me 36.97/15=2.50 a ride."
1,Awesome very pleased
1,"What a lovely product. Easy to use, good quality and nice design."
1,The Headphones are great and the support team is the BEST!
1,"These are great fitting headphones. The only thing I don't like about them is that the button for start/stop/pairing is in the center. This means that when you want to start or stop music (or pair to bluetooth), you push the button and the headphones get shoved further into your ear. Slightly uncomfortable, but otherwise, they fit just as good as other headphones that are much more expensive. Definitely happy I went with Senso."
1,It s a very well done product. For the price I truly recommend this.
1,Sturdy ear plugs but hurt my ears a little. Sound quality was choppy when I first connected but I adjusted my equalizer on cp. Great buy!
1,I love how they fit. Comfort.  Sound to me is great. Sometimes I feel that I am talking loudly for the phone . So I can be heard.
1,"High quality product and easy to set up on Bluetooth sync. Bass is very good for earbuds and mid-tones and highs crisp. Haven't used them long enough to comment on the battery life, but if it lives up to all the other features I've reviewed above, it should be highly satisfactory."
1,They work really well & came with great accessories. I think they are a little large but that's just a personal observation. Shipped really quickly.
1,"Love these for inexpensive wireless headphones. The sound is surprisingly clear for the price. They are not completely noise-canceling, but do the job well enough people can sneak up on me!"
1,very good value
1,This is my second  one
1,"This is my first pair of Bluetooth earbuds so don't have anything to compare to. I think they're quite good. Sometimes the sound cuts in and out, not sure why. I find the ear loops a bit annoying to get on. The case is way to small and not even worth trying to store these things in it.<br />I appreciate quality sound. I have always invested in great stereo and speaker components and would like to find a pair of earbuds that deliver the same. Not sure if these are it or not. May try another brand to compare, perhaps Bose. Any suggestions?"
1,"These things are so good, my wife let me buy 2 for the inevitable day that I destroy one of them. First, let me say that I'm no normal blue tooth earbud consumer. To be honest, I have more blue tooth headphones than my wife has purses (not quite shoes). The biggest problem I have with earbuds is the inability to stay in ones ear when doing activities. Usually, even if there is an over the ear cord of some kind holding the earbuds up, they still come out of my ear hole. Lets just say, with the SENSO Bluetooth Headhones, I haven't had one time where I've had to push the earphones back in my ear.<br /><br />Pros:<br />1. Fantastic for audiobooks and any music heavy on bass. At no point have I heard any distortion from overpowering the speakers.<br />2. The audio is definitely not that flat treble tone you hear with most bluetooth earbuds.<br />3. The over the ear rubber parts are comfortable while not being so tight that you can only wear for a few hours a day.<br />4. Battery lasts for about 8 hours of semi-continuous use. It would probably last longer if I turned the volume down on the device from time to time.<br />5. Pairs quickly to my Samsung Galaxy 8 and Windows 10 USB Bluetooth 4.0 dongle<br />([[ASIN:B00VWEK4IG [2 Year Warranty] Avantree USB Bluetooth 4.0 Adapter for PC, Wireless Dongle, for Stereo Music, VOIP, Keyboard, Mouse, Support All Windows 10 8.1 8 7 XP vista]])<br />6. Recharges in 1-2 hours on standard cellphone chargers or the included car charger<br />7. Price at time of my purchase was 70% less than retail which made it so much better.<br />8. Wife saw how much I liked them and bought me a backup pair.<br />9. I can swim with dolphins while listening to tunes. Need I say more?<br /><br />Con:<br />1. Microphone doesn't pick up voices well. It probably works better if you have a higher pitched voice.<br />2. Color options would have been nice."
1,Worth every cent ! The shipping sucked though ...
1,Great item...good sound for the price you can't beat it...fast shipping no issues
1,"Good sound, great carrying case, EASY to pair with my IPhone!"
1,"Worth every single penny! They really do block out all outside noises, stay in place, and easy to use."
1,Love them and they are very long lasting
0,"Not very good product. Battery dies fast, fits badly on the ear."
1,These have become my all-time favorite headphones for working out. Just put them on and forget they're even there! they don't fall out and they're very comfortable. Great quality of sound too!
1,"Great sound quality (at least to my old, failing ears) and quite comfortable and easy to use."
1,"First let me say I got these to use in the pool.  Swimming laps and doing Aquacise classes. These headphones have the highest rating for water proof ability. I'm still working at getting these to fit comfortably. They are bigger than I normally have and don't stay in my ear very well. However, they do work as long as your head is above water and you are in range of the Bluetooth device. Instructions don't go into great detail but you get the basics. One side has all the controls and I have a hard time with them. Anyone with large hands and fingers would find it very difficult as the buttons are close and it is easy to hit two at the same time. While I am not thrilled with the design of these headphones especially for use in a pool, they do work."
0,Do NOT buy!!! The headphones worked 3-4 times and then stopped charging/working. When they did work they would disconnect from the blue tooth when my iPhone was only 2-3 feet from the headphones in my pocket.
0,"The headphones were great, i only used it for when i went to the gym and honestly it was a great little product. But then after a few months it wouldn't charge at full capacity only up to 20% and even then it would die within 5 -10 minutes.<br /><br />The headphones are basically non-functioning now but i will give it 2 stars since they worked well when it did and maybe i just received a defective one."
1,"This is nice and comfortable, but has echo when talking on it.  To minimize echo (on other person's side), I pull out one side of ear piece."
1,People cannot hear me well
1,"Great quality compared to ones I've had in the past, nice bass and a solid carrying case thats not too big, but still protective. I like these ear phones a lot and have already recommended them to friends."
1,"Good sound quality and nice packaging,but  they are a bit big so they catch the wind when running making theme uncomfortable at times, it's like the wind is echoing"
1,I love this product works great
1,"If you are on a budget, but still want some high quality workout headphones, then look no further! These are the perfect find for people who want a long lasting pair of headphones, that are sweat proof, and are incredibly comfortable to wear for long periods of time! I would definitely recommend these to everyone I know!"
1,"This is my second pair. The first pair gave me two great years of service, but I suspect the battery finally gave up.mthe second pair are pretty much the same, but they did include a magnet to mount my phone in the car. I’m not sure I’ll use it, but I may.mthey are comfortable, reliable, and easily “learned.”"
1,"Don't have to worry about pulling the copper loose, like you do with retractable headsets."
1,"I typically do not like over the ear headphones, but was trying to look for some I could wear to work out.  They are very lightweight and I could barely feel then on me.  They didn't pinch or squeeze my ears at all!  My partner will buy a pair shortly since I've been talking them up quite a bit.  Oh- and sound quality is really good!!"
1,Buttons are easy to use. Holds a charge well.
0,"I ended up returning them. Very broken sound, and unable to make a reliable handshake with an apple watch. Otherwise, the were comfortable. They just didn't do what they were supposed to for me."
1,"So far so good, though they aren't noise cancelling. I have seen other reviews stating that they have quit working after awhile. I have bought 2 other Bluetooth headphones that have cut out with every other step when walking. If these crap out on me I will have finally learned my lesson about buying cheaper Bluetooth headphones."
1,"Got these for my wife who is hard on wired sports earphones. So far, she loves them!  Great sound! Fit Well!<br />Give them a week and if still happy I may even buy a pair!"
1,Just as good as any popular name brand headphones. Would recommend if you're looking for wireless earbuds!
1,i cant recommend these enough. they have survived two obstacle mud races and lots of use. if i could i would give it 6 stars
0,They just didn't fit with my ear shape and are not adjustable other than the interchangable earbud sizes.  I can't comment on sound or quality.
1,Bought this as a gift. Will update once they tell me about the product.
1,Good sound and feels comfortable.
0,"Update -----<br />I gave this another try purely because I was desperate for a Bluetooth headphone in a bind. After another week trying them out, I can say they're pure crap. They've ruined so many runs because they DONT STAY IN so I have to keep slowly down to either readjust or put back in my ear. The strap that goes around your ear honestly makes it even harder for them to stay in your ear because they're so big so that just flop and help the ear bud fall out.<br /><br />I've try to contact the seller multiple times with no response.<br /><br />Original review------<br />I'm upset to say I'm not satisfied with this product. After excitedly awaiting it's arrival, the headphones just aren't what I expected. The sound is good and the connection is excellent, but once I start any sort of physical activity, the headphones slip right out. I tried all of the ear bud sizes and nothing fits right. I think this may have to do with how loose the hook for behind the ear is. Overall I'm upset to give a bad review, I thought I had finally found a perfect pair of headphones to run in."
1,I got an email after the delivery from the owner of Senso.  Asking if I&#34;m happy with them. and a 1 year warranty.  So far I totally reccomend this company!!! J
1,"Compact,comfortable and great sound !!"
1,"Great price, good sound. This is my second pair since my son took the first pair from me (which still work great by the way and I’ve had them since 2017)!  Tried a pair of Tozo wireless and they did not work, only one earbud would charge, so returned those and went with what I knew with work!  This Senso set!"
1,"The earphone came with a lot of accessories; silicone ear tips for all size and a comfortable foam tip. Good sound quality for its price range. Good and fast connection with my iPhone and battery lasted pretty long.  Only thing I didn’t like is the plastic behind the ear tips are a bit hard and could be uncomfortable.  Overall, great product for its price and would recommend it to anyone that need an affordable earphone."
1,"These are great workout headphones.<br /><br />I was looking for some wireless earbuds that would actually stay in my ears while at the gym. These Senso earbuds do just that - it's just a matter of experimenting with the bud size (they supply options) - and getting the angle right.<br /><br />The wireless aspect of this device was one of the main factors for my purchase. Bluetooth connectivity is easy - I connected up to my iPhone straight away.<br /><br />Audio quality is surprisingly good. They're as good as, if not better than, poser brands that cost a great deal more.<br /><br />In addition, the accessories are worth the price tag alone. Lightening cable, dual car charger, charger and power cable are included in a stylish protective zip case.<br /><br />Definitely worth buying - highly recommended."
0,"Good sound for low cost wireless earplugs. The black ear loops are pretty large, so if you have small ears they will fit awkwardly. Going to return."
1,"Very good quality headphones!<br /><br />The sound is crystal clear and loud. The connectivity is pretty smooth too. No complaints, 5 stars easily. Highly recommended."
1,The best I have ever gotten work far better than I anticipated. Bye far the best Product for the money
1,I love it
1,"I've tried a few pairs of wireless headphones in the &#60;$100 price range and I feel like this is the best you're going to do if you're not willing to shell out $100+<br /><br />Here's what I wish I would have known before buying:<br /><br />When initially pairing with my Android phone, the sound quality was poor. Everything was way too bassy and sounded very noisy. After downloading a free equalizer app from the Play Store, I was able to tweak the sound to the point where it is actually pretty good.<br /><br />I also had an issue where the headphones would cut out every 30 seconds really badly. I ended up figuring out that it was trying to pair to both my PC (previously paired) as well as my phone. After killing Bluetooth on my PC, no more cut-outs.<br /><br />Here are my ratings based on the vaue for the $30 price point for wireless headphones<br />Sound Quality Before Equalizer: 2/5 stars<br />Sound Quality After Equalizer: 5/5 stars<br />Build Quality: 4/5 Stars<br />Ease of Use: 3/5 Stars (due to the pairing issue with 2 host devices present)"
0,Has a lot of wind noise and constantly skips when trail running. Skips sometimes if there is any head movement.
1,"Very easy to use, connected to my phone with no problems."
1,"Product has worked fantastic.  I have listed to other headphones of similar style that might cost much more, and notice little to know difference in sound quality.  The headphones came with a nice case, travel pouch, charging cable, car adapter charger and additional iphone cable.  Simple to use and battery life thus far has been great.  Happy with this purchase!"
1,"First pair of bluetooth headphones, love them!"
1,very comfortable earbuds!
1,"I am impressed with the fact the fit and feel is just like my powerbeats headphones i wear while running. What i don't like, at all, is the amount of wind noise that these generate. While running the wind noise generated makes me have to turn the volume up 2 notches from what is needed on my other headphones."
0,"The sound on these headphones is OK.  Not great, and not as good as my previous pair of LG's which were only slightly more expensive.<br /><br />I'm returning them because I they too often fail to connect to my phone.  I need to turn them off, back on, and after that, sometimes go to Bluetooth settings, wait for them to disconnect (on their own), and then reconnect from the phone.  Also, when interrupting a video for a phone call, the audio for the video does not always come back once the call is complete.<br /><br />Also, the packaging advertises noise cancelling, but in reality they do not offer this feature at all.  Understandable for a $30 pair of headphones, but still false advertising."
1,"Battery life great. I use them for the gym. They are so comfortable and easy to use. I love the sound quality.  I turn the volume up and happily can't hear when people slam the gym weights. One of my best accessories..Also, I love that it's compatible with my Sony Xperia Z2."
1,My son said these are the best! He really loves them.
0,These worked really great until the right earbud electronic components cracked open and won't reseal. Very disappointed as I expected them to last a very long time and I've used them only a few months.
1,Very impressed with this item.  I use them every day and they haven't failed me yet.  Very easy and convenient to use.
1,Good for the price. Easy to use and fine battery life.
1,"Great pair of earbuds, and I HATE earbuds. Easy to charge, pair with phone, and operates easily. Loud, clear sound. Used while sitting, weight training, and during a run; only had to adjust them a few times during the run. Great price for all the functionality!"
1,"I’m re-ordering these headphones because mine were lost during a hurricane that destroyed me house. Personally, I have used them only when driving. They worked very well, were easy to connect and operate, and the sound quality and intensity were good. Because they were comfortable, I sometimes forgot to take them off and leave them in the vehicle."
1,Terrific for gym use!
